_RAJ2000,_DEJ2000,X,CRTS,RAJ2000,DEJ2000,Vmax,l_Vmin,Vmin,Ndet,Det,Ref,Simbad,recno
01 15 32.1700,+37 37 35.600,,J011532.2+373736,01 15 32.17,+37 37 35.6,14.0,,17.0,6,FO And,,Simbad,39
01 15 43.2400,+33 37 24.200,,J011543.2+333724,01 15 43.24,+33 37 24.2,16.3,,,3,CSS081205:011543+333724,,Simbad,40
01 16 13.7700,+09 22 16.100,,J011613.8+092216,01 16 13.77,+09 22 16.1,16.1,,18.9,3,CSS081220:011614+092216,II,Simbad,41
01 20 59.6300,+32 55 44.800,,J012059.6+325545,01 20 59.63,+32 55 44.8,13.2,,19.4,3,VSX J012059.6+325544,,Simbad,42
01 28 38.3300,+18 45 35.700,,J012838.3+184536,01 28 38.33,+18 45 35.7,17.5,,21.4,11,CSS100114:012838+184536,,Simbad,43
01 33 08.7200,+38 32 17.200,X,J013308.7+383217,01 33 08.72,+38 32 17.2,15.9,,18.4,1,CSS091027:013309+383217,,Simbad,44
01 37 01.0500,-09 12 35.200,,J013701.1-091235,01 37 01.05,-09 12 35.2,12.7,,18.2,1,GZ Cet,I,Simbad,45
01 37 37.2200,+30 02 48.700,,J013737.2+300248,01 37 37.22,+30 02 48.7,13.6,,16.9,4,TX Tri,,Simbad,46
01 41 50.4000,+09 08 21.600,,J014150.4+090822,01 41 50.40,+09 08 21.6,14.7,,20.0,4,CSS101127:014150+090822,,Simbad,47
01 45 03.2900,+37 56 33.200,,J014503.3+375633,01 45 03.29,+37 56 33.2,12.5,,15.8,7,AR And,,Simbad,48
01 45 38.2500,+28 21 40.600,,J014538.3+282141,01 45 38.25,+28 21 40.6,18.5,>,20.0,1,CSS110924:014538+282141,,Simbad,49
01 47 09.7300,+17 15 20.000,,J014709.7+171520,01 47 09.73,+17 15 20.0,15.7,,19.4,1,CSS091213:014710+171520,,Simbad,50
01 50 21.1800,-12 44 25.300,,J015021.2-124425,01 50 21.18,-12 44 25.3,14.5,,18.9,4,CSS091029:015021-124425,II,Simbad,51
01 50 51.5300,+33 26 21.600,X,J015051.5+332622,01 50 51.53,+33 26 21.6,15.3,,18.3,1,CSS111006:015052+332622,,Simbad,52
01 51 51.8900,+14 00 47.000,,J015151.9+140047,01 51 51.89,+14 00 47.0,14.7,,19.7,3,BG Ari,I,Simbad,53
01 53 21.4900,+34 08 56.500,,J015321.5+340857,01 53 21.49,+34 08 56.5,15.9,,19.6,7,CSS081026:015321+340857,,Simbad,54
01 55 43.4200,+00 28 07.400,,J015543.4+002807,01 55 43.42,+00 28 07.4,15.2,,17.0,10,FL Cet,I,Simbad,55
02 00 56.0200,+19 57 26.800,,J020056.0+195727,02 00 56.02,+19 57 26.8,19.1,,21.3,1,CSS090117:020056+195727,,Simbad,56
02 08 04.2300,+37 32 16.600,X,J020804.2+373217,02 08 04.23,+37 32 16.6,15.3,,17.9,1,CSS101207:020804+373217,II,Simbad,57
02 11 10.2200,+17 16 24.300,,J021110.2+171624,02 11 10.22,+17 16 24.3,14.4,,19.0,8,CSS080130:021110+171624,III,Simbad,58
02 13 07.9700,+18 44 15.800,,J021308.0+184416,02 13 07.97,+18 44 15.8,15.4,,19.7,2,CSS101214:021308+184416,,Simbad,59
02 14 40.7200,-26 56 01.900,,J021440.7-265602,02 14 40.72,-26 56 01.9,18.7,>,21.1,1,SSS111230:021441-265602,,Simbad,60
02 20 47.2700,-14 48 23.400,,J022047.3-144823,02 20 47.27,-14 48 23.4,15.4,,19.2,3,CSS090917:022047-144823,,Simbad,61
02 21 37.8400,-26 19 52.100,,J022137.8-261952,02 21 37.84,-26 19 52.1,14.5,,19.7,1,SSS100829:022138-261952,,Simbad,62
02 24 11.4500,+35 59 18.600,,J022411.4+355919,02 24 11.45,+35 59 18.6,17.1,,18.7,4,CSS081031:022411+355919,,Simbad,63
02 24 36.4300,+37 20 21.400,,J022436.4+372021,02 24 36.43,+37 20 21.4,16.5,,,1,CSS101108:022436+372021,,Simbad,64
02 26 32.3300,+21 06 53.800,,J022632.3+210654,02 26 32.33,+21 06 53.8,17.8,,,2,CSS090920:022632+210654,,Simbad,65
02 26 47.5700,+15 25 38.900,,J022647.6+152539,02 26 47.57,+15 25 38.9,18.7,,,1,CSS100911:022648+152539,III,Simbad,66
02 27 32.8600,+13 06 17.100,,J022732.9+130617,02 27 32.86,+13 06 17.1,16.5,,18.4,2,MLS110213:022733+130617,,Simbad,67
02 32 11.6700,+30 36 36.000,,J023211.7+303636,02 32 11.67,+30 36 36.0,16.6,,20.3,1,CSS101029:023212+303636,,Simbad,68
02 33 02.6400,+18 48 22.000,,J023302.6+184822,02 33 02.64,+18 48 22.0,18.4,,21.3,2,CSS090920:023303+184822,,Simbad,69
02 35 04.0100,+32 40 37.700,,J023504.0+324038,02 35 04.01,+32 40 37.7,17.6,,,1,CSS080909:023504+324038,,Simbad,70
02 35 33.6700,+15 51 52.700,,J023533.7+155153,02 35 33.67,+15 51 52.7,17.1,,21.2,1,CSS091014:023534+155153,,Simbad,71
02 36 38.0000,+11 11 57.100,,J023638.0+111157,02 36 38.00,+11 11 57.1,15.6,,19.3,3,CSS091106:023638+111157,,Simbad,72
02 38 39.1100,+35 56 48.300,,J023839.1+355648,02 38 39.11,+35 56 48.3,14.1,,,3,CT Tri,III,Simbad,73
02 42 53.4100,+38 04 03.400,,J024253.4+380403,02 42 53.41,+38 04 03.4,15.1,,19.1,8,PV Per,,Simbad,74
02 44 57.4200,+35 22 49.300,,J024457.4+352249,02 44 57.42,+35 22 49.3,18.3,,,1,CSS071112:024457+352249,,Simbad,75
02 45 17.2400,+33 31 25.700,,J024517.2+333126,02 45 17.24,+33 31 25.7,15.2,,,3,UW Tri,,Simbad,76
02 46 02.3800,+34 55 08.200,,J024602.4+345508,02 46 02.38,+34 55 08.2,14.5,,18.4,5,V0872 Per,,Simbad,77
02 46 07.5300,-63 35 46.000,,J024607.5-633546,02 46 07.53,-63 35 46.0,14.7,,19.3,1,RU Hor,,Simbad,78
02 50 00.1400,+37 39 22.200,,J025000.1+373922,02 50 00.14,+37 39 22.2,14.3,,15.9,7,PY Per,,Simbad,79
02 56 12.8700,-10 33 59.000,,J025612.9-103359,02 56 12.87,-10 33 59.0,15.1,,19.1,1,CSS091021:025613-103359,,Simbad,80
02 56 14.9900,+19 16 11.200,,J025615.0+191611,02 56 14.99,+19 16 11.2,17.7,,,1,CSS090128:025615+191611,,Simbad,81
02 56 21.2600,-12 18 55.000,,J025621.3-121855,02 56 21.26,-12 18 55.0,19.2,,,2,CSS080927:025621-121855,,Simbad,82
03 01 40.6000,+24 15 41.400,,J030140.6+241541,03 01 40.60,+24 15 41.4,19.2,,19.8,1,CSS090928:030141+241541,,Simbad,83
03 07 28.8300,+32 43 06.500,,J030728.8+324306,03 07 28.83,+32 43 06.5,17.6,,,4,CSS081031:030729+324306,,Simbad,84
03 09 45.1900,+29 52 50.900,,J030945.2+295251,03 09 45.19,+29 52 50.9,14.8,,18.9,1,CSS071108:030945+295251,,Simbad,85
03 10 32.7800,-09 45 05.900,,J031032.8-094506,03 10 32.78,-09 45 05.9,16.2,,18.3,1,CP Eri,,Simbad,86
03 14 40.9900,+27 12 29.200,,J031441.0+271229,03 14 40.99,+27 12 29.2,16.8,,20.4,1,CSS101207:031441+271229,,Simbad,87
03 20 33.2000,+06 43 05.200,,J032033.2+064305,03 20 33.20,+06 43 05.2,17.1,,19.4,2,CSS081222:032033+064305,,Simbad,88
03 21 48.3900,-50 35 58.600,,J032148.4-503559,03 21 48.39,-50 35 58.6,16.8,,,2,SSS110106:032148-503559,,Simbad,89
03 26 27.2600,+07 07 44.400,,J032627.3+070744,03 26 27.26,+07 07 44.4,16.7,>,21.2,6,CSS080110:032627+070744,,Simbad,90
03 26 51.7000,+01 15 13.200,,J032651.7+011513,03 26 51.70,+01 15 13.2,17.8,,,1,CSS100219:032652+011513,I,Simbad,91
03 28 11.8500,+28 06 31.300,,J032811.9+280631,03 28 11.85,+28 06 31.3,15.7,,18.2,4,CSS090928:032812+280631,II,Simbad,92
03 28 39.8500,-01 02 40.300,,J032839.9-010240,03 28 39.85,-01 02 40.3,14.5,,,1,CSS101116:032840-010240,,Simbad,93
03 28 55.0000,+05 22 53.900,,J032855.0+052253,03 28 55.00,+05 22 53.9,17.4,,18.9,1,SDSS 032855,,Simbad,94
03 29 02.0400,+06 00 46.700,,J032902.0+060047,03 29 02.04,+06 00 46.7,17.6,,,3,CSS101202:032902+060047,,Simbad,95
03 29 12.2500,+12 50 17.700,,J032912.3+125018,03 29 12.25,+12 50 17.7,15.3,,21.0,1,V1265 Tau,,Simbad,96
03 29 33.9100,+18 25 30.000,,J032933.9+182530,03 29 33.91,+18 25 30.0,17.5,,,1,CSS110124:032934+182530,,Simbad,97
03 30 31.4300,+20 14 01.500,,J033031.4+201402,03 30 31.43,+20 14 01.5,15.6,,18.8,3,CSS090213:033031+201402,,Simbad,98
03 30 55.6600,+25 12 55.200,,J033055.7+251255,03 30 55.66,+25 12 55.2,16.6,,,5,CSS080130:033056+251255,,Simbad,99
03 31 04.4200,+17 25 40.100,,J033104.4+172540,03 31 04.42,+17 25 40.1,15.5,,19.1,10,CSS081107:033104+172540,,Simbad,100
03 32 31.9100,+02 04 38.900,,J033231.9+020439,03 32 31.91,+02 04 38.9,16.5,,19.2,2,CSS091121:033232+020439,,Simbad,101
03 32 48.0700,+32 30 57.000,,J033248.1+323057,03 32 48.07,+32 30 57.0,18.7,,,1,CSS081025:033248+323057,,Simbad,102
03 33 49.8000,-28 22 43.600,,J033349.8-282244,03 33 49.80,-28 22 43.6,14.7,,17.7,2,SSS110224:033350-282244,,Simbad,103
03 33 56.8700,+33 21 51.900,,J033356.9+332152,03 33 56.87,+33 21 51.9,17.6,>,19.3,3,CSS111127:033357+332152,,Simbad,104
03 34 49.8100,-07 10 47.600,,J033449.8-071048,03 34 49.81,-07 10 47.6,14.4,,17.9,4,SDSS J033449.86-071047.8,,Simbad,105
03 35 55.7900,+19 11 19.100,,J033555.8+191119,03 35 55.79,+19 11 19.1,16.0,,19.7,4,CSS081107:033556+191119,,Simbad,106
03 36 25.6900,+32 08 13.700,,J033625.7+320814,03 36 25.69,+32 08 13.7,16.0,,20.5,2,CSS111225:033626+320814,,Simbad,107
03 37 10.9500,-06 50 59.200,,J033710.9-065059,03 37 10.95,-06 50 59.2,17.3,,20.1,2,SDSS J033710.91-065059.4,I,Simbad,108
