Source,Number
2007A&A...475..775K,1
2006ApJ...636..765B,1
2004ApJS..154..519S,1
1990AJ.....99..330W,1
2011AJ....141...96L,1
1973PASP...85...70L,1
1998PASP..110..586L,1
2004AJ....128..312M,1
1992ApJS...78..409B,1
2003AJ....126.1023H,1
2011ApJ...732...51R,1
2005A&A...434..483P,1
2014ATel.6792....1V,1
2013ATel.5354....1K,1
2015ATel.7576....1P,1
2013ATel.5634....1Y,1
2015ATel.7066....1B,1
2015ATel.6910....1V,1
2015ATel.6925....1O,1
2015ATel.7892....1G,1
2014ATel.6725....1B,1
2013ATel.4865....1S,1
2013ATel.5698....1D,1
2013ATel.5691....1B,1
2012ATel.4629....1B,1
2012ATel.4429....1T,1
2013ATel.4914....1D,1
2012ATel.4446....1B,1
2014ATel.5983....1V,1
2013ATel.5632....1D,1
2013ATel.4756....1S,1
2015ATel.7182....1S,1
2014ATel.5854....1S,1
2013ATel.4783....1D,1
2013ATel.4790....1Y,1
2014ATel.6746....1B,1
2014ATel.6847....1S,1
2012ATel.4639....1E,1
2013ATel.5618....1B,1
2012ATel.4593....1D,1
2015ATel.7218....1B,1
2014ATel.5863....1D,1
2015ATel.6884....1G,1
2014ATel.6031....1G,1
2013ATel.5426....1D,1
2014ATel.6069....1B,1
2014ATel.5758....1V,1
2013ATel.4963....1S,1
2012ATel.4131....1P,1
2015ATel.7032....1G,1
2015ATel.7010....1S,1
2014ATel.5819....1S,1
2013ATel.5196....1S,1
2012ATel.4506....1D,1
2013ATel.4843....1Y,1
2013ATel.4761....1B,1
2014ATel.6003....1S,1
2014ATel.6352....1S,1
2014ATel.6686....1B,1
2013ATel.4821....1Y,1
2013ATel.5147....1T,1
2012ATel.3962....1L,1
2013ATel.5083....1S,1
2013ATel.5574....1B,1
2012ATel.4458....1B,1
2014ATel.6584....1P,1
2013ATel.5134....1P,1
2012ATel.4611....1E,1
2014ATel.5974....1B,1
2013ATel.5348....1S,1
2013ATel.4781....1B,1
2014ATel.6578....1V,1
2013ATel.5098....1S,1
2015ATel.6966....1G,1
2012ATel.4213....1P,1
2009ApJ...699...40S,1
2006AJ....131.1163S,1
2004MNRAS.348.1439S,1
2012ATel.4682....1B,1
2011ApJ...743..138G,1
1986ApJS...61..305G,1
1991MNRAS.250..692W,1
1984A&AS...58..565B,1
2009MNRAS.395..416R,1
2011ATel.3651....1V,1
2009ATel.2126....1V,1
2002ApJ...577..738K,1
1999A&A...344..521H,1
2003A&A...403..247F,1
1998ApJS..117..319A,1
2007MNRAS.382.1279P,1
2003ApJ...589..225M,1
2009ApJ...699..649S,1
2016MNRAS.455.3413K,1
2006MNRAS.373..687S,1
2010MNRAS.402..620R,1
2013A&A...556A.120M,1
2012MNRAS.420..379U,1
1966ApJ...144..496G,1
1977ApJ...218L..21G,1
1987ApJ...316..399F,1
1992A&AS...93..419B,1
2004PASP..116..300T,1
2011MNRAS.410.2095V,1
1994MNRAS.271..910O,1
1974ApJ...189L.131G,1
1962ApJ...135..408K,1
1998PASP..110.1405T,1
2006AN....327...44K,1
2003IAUC.8202....1W,1
2012A&A...537A...2M,1
